,OID,WATERBODY_CODE,Waterbody_LID,LOCNAME,lat,long,ID,SPECIES_NAME,SAMPLE_YEAR,SAMPLE_DATE,LENGTH_CM,WEIGHT_GRAM,SEX,VALUE,Waterbody_Name,LCOUPCORSM,COUPCORSM,TP,TPMAX,TEMPMEANYR,SA_ha
1,23980,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110651,Lake Trout,2010,22-Jun-10,37.5,409,F,1.3,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
2,23981,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110652,Lake Trout,2010,22-Jun-10,40.7,506,M,1.3,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
3,23982,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110653,Lake Trout,2010,22-Jun-10,41.1,590,F,0.65,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
4,23983,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110654,Lake Trout,2010,22-Jun-10,42.3,658,M,1.9,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
5,23984,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110655,Lake Trout,2010,22-Jun-10,44.2,662,M,1.2,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
6,23985,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110656,Lake Trout,2010,22-Jun-10,46.8,670,F,1.5,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
7,23986,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110657,Lake Trout,2010,22-Jun-10,50.2,798,M,2.2,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
8,23987,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110658,Lake Trout,2010,22-Jun-10,53.3,1213,F,2,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
9,23988,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110659,Lake Trout,2010,22-Jun-10,49.9,907,F,1.9,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
10,23989,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110660,Lake Trout,2010,22-Jun-10,50.1,972,F,2.6,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
11,23990,48409140,15-5970-53925,Abbess Lake,48.68027778,-91.68305556,110661,Lake Trout,2010,22-Jun-10,44.7,671,M,1.1,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
12,21790,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112620,Lake Trout,2010,07-Aug-10,42.1,591,F,0.33,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
13,21791,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112621,Lake Trout,2010,07-Aug-10,48.8,1011,F,0.33,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
14,21792,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112622,Lake Trout,2010,07-Aug-10,94,10107,F,1.9,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
15,21794,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112624,Lake Trout,2010,07-Aug-10,49.3,979,F,0.33,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
16,21795,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112625,Lake Trout,2010,07-Aug-10,53.5,1458,M,0.47,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
17,21796,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112626,Lake Trout,2010,07-Aug-10,55.5,1513,F,0.26,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
18,21797,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112627,Lake Trout,2010,07-Aug-10,56,1204,F,0.48,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
19,21798,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112628,Lake Trout,2010,07-Aug-10,61.8,1073,F,0.95,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
20,21799,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112629,Lake Trout,2010,07-Aug-10,63.5,2629,M,0.48,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
21,21800,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112630,Lake Trout,2010,07-Aug-10,64.2,2467,M,0.53,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
22,21801,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112631,Lake Trout,2010,07-Aug-10,68.2,2382,F,0.58,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
23,21802,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112632,Lake Trout,2010,07-Aug-10,69,2966,M,0.75,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
24,21803,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112633,Lake Trout,2010,07-Aug-10,70.9,3545,F,0.54,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
25,21804,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112634,Lake Trout,2010,07-Aug-10,72,2680,F,0.91,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
26,21805,48159148,15-5888-53453,Argo Lake,48.25694444,-91.80416667,112635,Lake Trout,2010,07-Aug-10,89.5,7339,M,0.62,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
27,29381,49279332,15-4602-54790,Atikwa Lake,49.46472222,-93.54888889,113131,Lake Trout,2010,16-Aug-10,47.1,721,F,0.34,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
