Waterbody_LID,Waterbody_Name,LCOUPCORSM,COUPCORSM,TP,TPMAX,TEMPMEANYR,SA_ha
15-5970-53925,Abbess L.,-2.515204838,0.074799115,4.492592806,4.889651876,17.54303833,130.2
15-5888-53453,Argo L.,-1.990365465,0.120218203,4.047346918,4.410287263,17.47197567,956.7
15-4602-54790,Atikwa L.,-0.936088205,0.281691184,4.514001766,4.995558357,18.161923,5387.8
18-2779-50548,Aylen L.,-2.099427301,0.109152497,4.641184051,5.330400864,17.60843667,2014.6
15-5662-53769,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
15-6500-55194,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
15-5627-54632,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
18-4040-49580,Big Rideau L.,0.304412387,0.575520806,4.932366467,5.338722676,18.34052033,6479
15-5452-56951,Birch L.,-0.519035426,0.373077811,4.754880744,4.831351332,14.817241,11667
15-4725-54467,Bluffpoint L.,-2.54460151,0.072789999,4.713649736,5.1930615,18.08108167,520.4
17-6801-50811,Burntroot,-0.039108835,0.490224037,4.739390355,4.883351644,16.50862933,1085.7
18-3773-493,Canoe (Kingston),-3.834538135,0.021154149,4.533699182,4.830758006,20.043195,291.4
17-6782-50464,Canoe(Alg),-1.648074923,0.161369299,4.782552038,5.158797864,16.90870433,344.5
17-7116-49585,Catchacoma L.,-0.516443724,0.373684185,4.685786236,5.286052375,18.143214,687.6
17-6896-50894,Catfish,-2.2625043,0.094276314,4.571665591,4.751736806,16.48351033,640.7
15-6164-54885,Cecil L.,0.587539726,0.642800446,4.336147066,4.606261356,15.363641,1615.5
18-4196-49317,Charleston L.,-1.254792777,0.221871589,4.769831617,5.193361029,19.71979667,2517.1
15-5747-53824,Cirrus L.,-0.888784834,0.291360659,4.612034719,5.112034719,17.578175,2113.3
15-4785-55574,Cliff L.,-0.582583159,0.358338426,4.605345288,4.925933523,15.32091933,2248
15-4187-56135,Confusion L.,-0.626442677,0.348317587,4.689355051,5.099002351,15.20761067,1426.2
15-4270-56011,Conifer L.,-0.340519628,0.415683259,4.627212589,5.035182781,15.19575567,1125.1
15-4115-55351,Cross L.,-1.491515245,0.183694406,4.416783661,4.570841941,18.17302767,104.3
15-6263-53964,Crystal L.,-1.404143702,0.197159392,4.252636599,4.540917684,17.31363433,612.7
